PO Number,Order Date,Supplier,Supplier Country,Item No,Item Description,Qty Ordered,Unit Cost,Freight,Duty,Landed Cost,Currency,Ship To,Promised Date,Received Date,Qty Received
PO-202407-0015,2024-07-17,Kotara Steel Products,India,HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,505,7.29,0.61,0.42,8.32,USD,100649,2024-09-28,2024-09-27,505
PO-202407-0016,2024-07-18,Larsen Brass & Bronze,USA,HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,388,11.69,0.00,0.00,11.69,USD,100117,2024-08-06,2024-08-03,388
PO-202407-0017,2024-07-18,Thermaline Systems,Mexico,HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,28,1419.63,34.07,0.00,1453.70,USD,100349,2024-08-26,2024-08-25,28
PO-202407-0018,2024-07-20,Anhui Precision Fittings,China,HRD290145,2 IN PVC DWV SANITARY TEE HUB,3757,3.84,0.30,0.48,4.62,USD,100649,2024-09-11,2024-09-08,3568
PO-202407-0019,2024-07-20,Thermaline Systems,Mexico,HRD512066,1/2 IN x 300FT PEX-B TUBING RED,91,59.51,1.43,0.00,60.94,USD,100117,2024-08-28,2024-08-28,89
PO-202407-0020,2024-07-21,Gulf States Polymer,USA,HRD290145,2 IN PVC DWV SANITARY TEE HUB,3429,4.47,0.00,0.00,4.47,USD,100047,2024-09-02,2024-09-06,3429
PO-202407-0021,2024-07-21,Gulf States Polymer,USA,HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2606,6.96,0.00,0.00,6.96,USD,100205,2024-09-02,2024-09-02,2606
PO-202407-0022,2024-07-22,Thermaline Systems,Mexico,HRD450871,40 GAL NATURAL GAS WATER HEATER 40 MBH,9,490.93,11.78,0.00,502.71,USD,100117,2024-08-30,2024-09-07,9
PO-202407-0023,2024-07-23,Pacific Rim Tooling,Vietnam,HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,15,1287.89,104.32,79.85,1472.06,USD,100117,2024-08-30,2024-08-30,15
PO-202407-0024,2024-07-24,Gulf States Polymer,USA,HRD512066,1/2 IN x 300FT PEX-B TUBING RED,105,61.52,0.00,0.00,61.52,USD,100649,2024-09-05,2024-09-03,105
PO-202407-0025,2024-07-24,Gulf States Polymer,USA,HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2393,2.30,0.00,0.00,2.30,USD,100571,2024-09-05,2024-09-03,2393
PO-202408-0026,2024-08-02,Cascade Copper Mills,USA,HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,313,18.89,0.00,0.00,18.89,USD,100933,2024-08-19,2024-08-22,313
PO-202408-0027,2024-08-02,Larsen Brass & Bronze,USA,HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,154,96.33,0.00,0.00,96.33,USD,100047,2024-08-21,2024-09-01,154
PO-202408-0028,2024-08-02,Thermaline Systems,Mexico,HRD450871,40 GAL NATURAL GAS WATER HEATER 40 MBH,9,482.33,11.58,0.00,493.91,USD,100205,2024-09-10,2024-09-09,9
PO-202408-0029,2024-08-03,Larsen Brass & Bronze,USA,HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,3279,2.40,0.00,0.00,2.40,USD,100649,2024-08-22,2024-08-21,2984
PO-202408-0030,2024-08-05,Kotara Steel Products,India,HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2326,1.56,0.13,0.09,1.78,USD,100571,2024-10-17,2024-10-16,2326
PO-202408-0031,2024-08-05,Kotara Steel Products,India,HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,729,7.38,0.62,0.43,8.43,USD,100349,2024-10-17,2024-10-16,729
PO-202408-0032,2024-08-07,Nordflow Valve Works,Germany,HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,614,10.32,0.53,0.28,11.13,USD,100349,2024-09-04,2024-09-04,614
PO-202408-0033,2024-08-11,Gulf States Polymer,USA,HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2436,7.00,0.00,0.00,7.00,USD,100205,2024-09-23,2024-09-23,2436
PO-202408-0034,2024-08-12,Larsen Brass & Bronze,USA,HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,270,18.86,0.00,0.00,18.86,USD,100117,2024-08-31,2024-09-11,270
PO-202408-0035,2024-08-12,Anhui Precision Fittings,China,HRD290145,2 IN PVC DWV SANITARY TEE HUB,3185,3.78,0.29,0.47,4.54,USD,100571,2024-10-04,2024-10-02,3185
PO-202408-0036,2024-08-13,Kotara Steel Products,India,HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,577,7.27,0.61,0.42,8.30,USD,100205,2024-10-25,2024-10-24,497
PO-202408-0037,2024-08-16,Anhui Precision Fittings,China,HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,457,9.70,0.76,1.21,11.67,USD,100047,2024-10-08,2024-10-05,457
PO-202408-0038,2024-08-16,Kotara Steel Products,India,HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,454,7.13,0.60,0.41,8.14,USD,100812,2024-10-28,2024-10-29,454
PO-202408-0039,2024-08-18,Thermaline Systems,Mexico,HRD512066,1/2 IN x 300FT PEX-B TUBING RED,100,61.58,1.48,0.00,63.06,USD,100933,2024-09-26,2024-09-25,100
PO-202408-0040,2024-08-18,Gulf States Polymer,USA,HRD512066,1/2 IN x 300FT PEX-B TUBING RED,97,64.67,0.00,0.00,64.67,USD,100812,2024-09-30,2024-10-05,97
PO-202408-0041,2024-08-20,Cascade Copper Mills,USA,HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,12,290.47,0.00,0.00,290.47,USD,100117,2024-09-06,2024-09-06,12
PO-202408-0042,2024-08-21,Cascade Copper Mills,USA,HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,523,19.28,0.00,0.00,19.28,USD,100349,2024-09-07,2024-09-07,523
PO-202408-0043,2024-08-22,Pacific Rim Tooling,Vietnam,HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,17,1243.11,100.69,77.07,1420.87,USD,100571,2024-09-29,2024-09-29,17
PO-202408-0044,2024-08-25,Larsen Brass & Bronze,USA,HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,10,286.91,0.00,0.00,286.91,USD,100959,2024-09-13,2024-09-10,10
PO-202408-0045,2024-08-25,Anhui Precision Fittings,China,HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,1951,1.46,0.11,0.18,1.75,USD,100933,2024-10-17,2024-10-14,1951
PO-202409-0046,2024-09-01,Kotara Steel Products,India,HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,3097,1.55,0.13,0.09,1.77,USD,100649,2024-11-13,2024-11-13,3097
PO-202409-0047,2024-09-01,Anhui Precision Fittings,China,HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,144,79.91,6.23,9.99,96.13,USD,100205,2024-10-24,2024-10-27,144
PO-202409-0048,2024-09-03,Kotara Steel Products,India,HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,456,7.38,0.62,0.43,8.43,USD,100959,2024-11-15,2024-11-14,456
PO-202409-0049,2024-09-04,Gulf States Polymer,USA,HRD512066,1/2 IN x 300FT PEX-B TUBING RED,71,65.05,0.00,0.00,65.05,USD,100959,2024-10-17,2024-10-29,71
PO-202409-0050,2024-09-06,Cascade Copper Mills,USA,HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,5,274.59,0.00,0.00,274.59,USD,100349,2024-09-23,2024-09-20,5
PO-202409-0051,2024-09-07,Kotara Steel Products,India,HRD450871,40 GAL NATURAL GAS WATER HEATER 40 MBH,11,440.00,36.96,25.52,502.48,USD,100812,2024-11-19,2024-11-19,11
PO-202409-0052,2024-09-08,Cascade Copper Mills,USA,HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,406,19.22,0.00,0.00,19.22,USD,100571,2024-09-25,2024-09-29,406
PO-202409-0053,2024-09-10,Gulf States Polymer,USA,HRD290145,2 IN PVC DWV SANITARY TEE HUB,2844,4.54,0.00,0.00,4.54,USD,100117,2024-10-23,2024-10-30,2844
PO-202409-0054,2024-09-11,Cascade Copper Mills,USA,HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,15,284.95,0.00,0.00,284.95,USD,100812,2024-09-28,2024-09-28,15
PO-202409-0055,2024-09-12,Thermaline Systems,Mexico,HRD450871,40 GAL NATURAL GAS WATER HEATER 40 MBH,7,496.91,11.93,0.00,508.84,USD,100649,2024-10-21,2024-10-25,7
PO-202409-0056,2024-09-13,Gulf States Polymer,USA,HRD290145,2 IN PVC DWV SANITARY TEE HUB,1877,4.69,0.00,0.00,4.69,USD,100959,2024-10-26,2024-10-24,1877
PO-202409-0057,2024-09-14,Cascade Copper Mills,USA,HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,313,19.06,0.00,0.00,19.06,USD,100959,2024-10-01,2024-09-30,313
PO-202409-0058,2024-09-14,Kotara Steel Products,India,HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2292,1.55,0.13,0.09,1.77,USD,100047,2024-11-26,2024-11-25,2292
PO-202409-0059,2024-09-14,Thermaline Systems,Mexico,HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,9,1450.99,34.82,0.00,1485.81,USD,100205,2024-10-23,2024-10-22,9
PO-202409-0060,2024-09-16,Larsen Brass & Bronze,USA,HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,366,19.13,0.00,0.00,19.13,USD,100812,2024-10-05,2024-10-02,330
PO-202409-0061,2024-09-16,Anhui Precision Fittings,China,HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,283,6.98,0.54,0.87,8.39,USD,100349,2024-11-08,2024-11-12,265
PO-202409-0062,2024-09-17,Anhui Precision Fittings,China,HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,1810,1.44,0.11,0.18,1.73,USD,100205,2024-11-09,2024-11-20,1810
PO-202409-0063,2024-09-17,Gulf States Polymer,USA,HRD290145,2 IN PVC DWV SANITARY TEE HUB,1758,4.74,0.00,0.00,4.74,USD,100571,2024-10-30,2024-10-29,1707
PO-202409-0064,2024-09-18,Nordflow Valve Works,Germany,HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,593,10.66,0.54,0.29,11.49,USD,100571,2024-10-16,2024-10-13,593
PO-202409-0065,2024-09-21,Gulf States Polymer,USA,HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2499,6.77,0.00,0.00,6.77,USD,100933,2024-11-03,2024-11-04,2499
PO-202409-0066,2024-09-23,Cascade Copper Mills,USA,HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,6,276.55,0.00,0.00,276.55,USD,100205,2024-10-10,2024-10-10,6
PO-202409-0067,2024-09-24,Gulf States Polymer,USA,HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2063,2.39,0.00,0.00,2.39,USD,100649,2024-11-06,2024-11-04,2063
PO-202409-0068,2024-09-24,Anhui Precision Fittings,China,HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,487,6.93,0.54,0.87,8.34,USD,100649,2024-11-16,2024-11-14,487
PO-202410-0069,2024-10-01,Anhui Precision Fittings,China,HRD290145,2 IN PVC DWV SANITARY TEE HUB,2550,3.94,0.31,0.49,4.74,USD,100649,2024-11-23,2024-11-29,2550
PO-202410-0070,2024-10-01,Gulf States Polymer,USA,HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,1842,6.89,0.00,0.00,6.89,USD,100933,2024-11-13,2024-11-13,1842
PO-202410-0071,2024-10-03,Larsen Brass & Bronze,USA,HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,450,11.41,0.00,0.00,11.41,USD,100933,2024-10-22,2024-10-24,450
PO-202410-0072,2024-10-03,Anhui Precision Fittings,China,HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,439,6.80,0.53,0.85,8.18,USD,100205,2024-11-25,2024-11-22,439
PO-202410-0073,2024-10-04,Larsen Brass & Bronze,USA,HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,127,100.41,0.00,0.00,100.41,USD,100117,2024-10-23,2024-10-22,127
PO-202410-0074,2024-10-07,Pacific Rim Tooling,Vietnam,HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,14,1250.97,101.33,77.56,1429.86,USD,100959,2024-11-14,2024-11-14,14
PO-202410-0075,2024-10-09,Larsen Brass & Bronze,USA,HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,158,98.18,0.00,0.00,98.18,USD,100205,2024-10-28,2024-10-28,158
PO-202410-0076,2024-10-09,Thermaline Systems,Mexico,HRD512066,1/2 IN x 300FT PEX-B TUBING RED,112,60.92,1.46,0.00,62.38,USD,100047,2024-11-17,2024-11-15,112
PO-202410-0077,2024-10-10,Thermaline Systems,Mexico,HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,11,1466.65,35.20,0.00,1501.85,USD,100571,2024-11-18,2024-11-19,11
PO-202410-0078,2024-10-12,Kotara Steel Products,India,HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2468,1.54,0.13,0.09,1.76,USD,100349,2024-12-24,2024-12-24,2468
PO-202410-0079,2024-10-13,Larsen Brass & Bronze,USA,HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,113,96.84,0.00,0.00,96.84,USD,100047,2024-11-01,2024-10-31,113
PO-202410-0080,2024-10-13,Thermaline Systems,Mexico,HRD450871,40 GAL NATURAL GAS WATER HEATER 40 MBH,16,487.98,11.71,0.00,499.69,USD,100812,2024-11-21,2024-11-20,16
PO-202410-0081,2024-10-14,Larsen Brass & Bronze,USA,HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,3020,2.40,0.00,0.00,2.40,USD,100649,2024-11-02,2024-11-01,3020
PO-202410-0082,2024-10-14,Anhui Precision Fittings,China,HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,342,9.49,0.74,1.19,11.42,USD,100649,2024-12-06,2024-12-03,342
PO-202410-0083,2024-10-15,Pacific Rim Tooling,Vietnam,HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,309,16.73,1.36,1.04,19.13,USD,100117,2024-11-22,2024-11-19,309
PO-202410-0084,2024-10-15,Anhui Precision Fittings,China,HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,432,6.82,0.53,0.85,8.20,USD,100649,2024-12-07,2024-12-04,432
PO-202410-0085,2024-10-16,Anhui Precision Fittings,China,HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2276,1.47,0.11,0.18,1.76,USD,100117,2024-12-08,2024-12-19,2276
PO-202410-0086,2024-10-16,Kotara Steel Products,India,HRD450871,40 GAL NATURAL GAS WATER HEATER 40 MBH,11,451.86,37.96,26.21,516.03,USD,100349,2024-12-28,2025-01-02,11
PO-202410-0087,2024-10-18,Thermaline Systems,Mexico,HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2209,7.01,0.17,0.00,7.18,USD,100117,2024-11-26,2024-11-23,2209
PO-202410-0088,2024-10-20,Thermaline Systems,Mexico,HRD450871,40 GAL NATURAL GAS WATER HEATER 40 MBH,9,508.95,12.21,0.00,521.16,USD,100571,2024-11-28,2024-11-26,9
PO-202410-0089,2024-10-21,Cascade Copper Mills,USA,HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,13,285.63,0.00,0.00,285.63,USD,100205,2024-11-07,2024-11-05,13
PO-202410-0090,2024-10-22,Gulf States Polymer,USA,HRD290145,2 IN PVC DWV SANITARY TEE HUB,1918,4.53,0.00,0.00,4.53,USD,100959,2024-12-04,2024-12-04,1918
PO-202410-0091,2024-10-22,Nordflow Valve Works,Germany,HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,594,10.80,0.55,0.29,11.64,USD,100117,2024-11-19,2024-11-19,594
PO-202410-0092,2024-10-23,Gulf States Polymer,USA,HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,1311,6.95,0.00,0.00,6.95,USD,100571,2024-12-05,2024-12-08,1311
PO-202410-0093,2024-10-24,Pacific Rim Tooling,Vietnam,HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,426,16.50,1.34,1.02,18.86,USD,100047,2024-12-01,2024-11-29,426
PO-202410-0094,2024-10-25,Pacific Rim Tooling,Vietnam,HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,5,1263.55,102.35,78.34,1444.24,USD,100047,2024-12-02,2024-11-29,5
PO-202411-0095,2024-11-07,Thermaline Systems,Mexico,HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,1565,1.66,0.04,0.00,1.70,USD,100047,2024-12-16,2024-12-15,1565
PO-202411-0096,2024-11-10,Cascade Copper Mills,USA,HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,340,19.43,0.00,0.00,19.43,USD,100933,2024-11-27,2024-11-25,340
PO-202411-0097,2024-11-10,Kotara Steel Products,India,HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,595,7.31,0.61,0.42,8.34,USD,100959,2025-01-22,2025-01-20,595
PO-202411-0098,2024-11-11,Cascade Copper Mills,USA,HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,13,279.83,0.00,0.00,279.83,USD,100812,2024-11-28,2024-12-05,13
PO-202411-0099,2024-11-13,Thermaline Systems,Mexico,HRD290145,2 IN PVC DWV SANITARY TEE HUB,1853,4.50,0.11,0.00,4.61,USD,100649,2024-12-22,2024-12-20,1853
PO-202411-0100,2024-11-14,Kotara Steel Products,India,HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2372,1.56,0.13,0.09,1.78,USD,100205,2025-01-26,2025-01-30,2285
PO-202411-0101,2024-11-16,Nordflow Valve Works,Germany,HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,389,10.68,0.54,0.29,11.51,USD,100205,2024-12-14,2024-12-13,389
PO-202411-0102,2024-11-17,Kotara Steel Products,India,HRD450871,40 GAL NATURAL GAS WATER HEATER 40 MBH,15,444.80,37.36,25.80,507.96,USD,100933,2025-01-29,2025-02-04,15
PO-202411-0103,2024-11-17,Gulf States Polymer,USA,HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2168,2.41,0.00,0.00,2.41,USD,100205,2024-12-30,2025-01-05,2168
PO-202411-0104,2024-11-17,Pacific Rim Tooling,Vietnam,HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,9,1320.84,106.99,81.89,1509.72,USD,100117,2024-12-25,2024-12-24,9
PO-202411-0105,2024-11-18,Pacific Rim Tooling,Vietnam,HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,10,1289.07,104.41,79.92,1473.40,USD,100047,2024-12-26,2024-12-23,10
PO-202411-0106,2024-11-19,Thermaline Systems,Mexico,HRD512066,1/2 IN x 300FT PEX-B TUBING RED,110,62.81,1.51,0.00,64.32,USD,100571,2024-12-28,2024-12-26,110
PO-202411-0107,2024-11-20,Cascade Copper Mills,USA,HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,9,285.71,0.00,0.00,285.71,USD,100205,2024-12-07,2024-12-07,9
PO-202411-0108,2024-11-20,Gulf States Polymer,USA,HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,1882,6.81,0.00,0.00,6.81,USD,100349,2025-01-02,2025-01-12,1882
PO-202411-0109,2024-11-22,Kotara Steel Products,India,HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,293,7.08,0.59,0.41,8.08,USD,100933,2025-02-03,2025-02-11,293
PO-202411-0110,2024-11-23,Larsen Brass & Bronze,USA,HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,120,95.93,0.00,0.00,95.93,USD,100117,2024-12-12,2024-12-23,120
PO-202411-0111,2024-11-23,Larsen Brass & Bronze,USA,HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,126,95.77,0.00,0.00,95.77,USD,100047,2024-12-12,2024-12-10,126
PO-202411-0112,2024-11-24,Larsen Brass & Bronze,USA,HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,9,288.28,0.00,0.00,288.28,USD,100649,2024-12-13,2024-12-11,9
PO-202411-0113,2024-11-25,Thermaline Systems,Mexico,HRD290145,2 IN PVC DWV SANITARY TEE HUB,1647,4.64,0.11,0.00,4.75,USD,100812,2025-01-03,2024-12-31,1647
PO-202412-0114,2024-12-01,Nordflow Valve Works,Germany,HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,545,10.98,0.56,0.30,11.84,USD,100047,2024-12-29,2024-12-30,545
PO-202412-0115,2024-12-02,Cascade Copper Mills,USA,HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,415,19.14,0.00,0.00,19.14,USD,100649,2024-12-19,2024-12-18,415
PO-202412-0116,2024-12-02,Pacific Rim Tooling,Vietnam,HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,120,84.80,6.87,5.26,96.93,USD,100933,2025-01-09,2025-01-06,120
PO-202412-0117,2024-12-04,Gulf States Polymer,USA,HRD290145,2 IN PVC DWV SANITARY TEE HUB,1659,4.81,0.00,0.00,4.81,USD,100649,2025-01-16,2025-01-15,1659
PO-202412-0118,2024-12-04,Thermaline Systems,Mexico,HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,1621,6.83,0.16,0.00,6.99,USD,100649,2025-01-12,2025-01-09,1621
PO-202412-0119,2024-12-05,Thermaline Systems,Mexico,HRD512066,1/2 IN x 300FT PEX-B TUBING RED,88,64.66,1.55,0.00,66.21,USD,100349,2025-01-13,2025-01-25,88
PO-202412-0120,2024-12-05,Pacific Rim Tooling,Vietnam,HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,8,1286.05,104.17,79.74,1469.96,USD,100933,2025-01-12,2025-01-09,8
PO-202412-0121,2024-12-08,Kotara Steel Products,India,HRD450871,40 GAL NATURAL GAS WATER HEATER 40 MBH,17,437.20,36.72,25.36,499.28,USD,100812,2025-02-19,2025-02-19,17
PO-202412-0122,2024-12-09,Thermaline Systems,Mexico,HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,1463,6.90,0.17,0.00,7.07,USD,100571,2025-01-17,2025-01-18,1463
PO-202412-0123,2024-12-09,Kotara Steel Products,India,HRD450871,40 GAL NATURAL GAS WATER HEATER 40 MBH,13,437.83,36.78,25.39,500.00,USD,100205,2025-02-20,2025-02-18,13
PO-202412-0124,2024-12-13,Cascade Copper Mills,USA,HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,387,19.18,0.00,0.00,19.18,USD,100349,2024-12-30,2024-12-29,387
PO-202412-0125,2024-12-14,Cascade Copper Mills,USA,HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,431,19.72,0.00,0.00,19.72,USD,100117,2024-12-31,2024-12-30,431
PO-202412-0126,2024-12-14,Pacific Rim Tooling,Vietnam,HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,8,1316.14,106.61,81.60,1504.35,USD,100649,2025-01-21,2025-01-18,8
PO-202412-0127,2024-12-15,Larsen Brass & Bronze,USA,HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,123,100.09,0.00,0.00,100.09,USD,100812,2025-01-03,2025-01-07,123
PO-202412-0128,2024-12-16,Cascade Copper Mills,USA,HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,16,283.80,0.00,0.00,283.80,USD,100205,2025-01-02,2025-01-01,16
PO-202412-0129,2024-12-17,Gulf States Polymer,USA,HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,1596,7.21,0.00,0.00,7.21,USD,100047,2025-01-29,2025-02-02,1596
PO-202412-0130,2024-12-18,Larsen Brass & Bronze,USA,HRD661204,1 IN PEX-A EXPANSION COUPLING BRASS,2882,2.42,0.00,0.00,2.42,USD,100933,2025-01-06,2025-01-14,2882
PO-202412-0131,2024-12-19,Kotara Steel Products,India,HRD874019,4 IN CAST IRON NO-HUB COUPLING STAINLESS,570,7.50,0.63,0.44,8.57,USD,100349,2025-03-02,2025-02-28,570
PO-202412-0132,2024-12-20,Cascade Copper Mills,USA,HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,10,286.79,0.00,0.00,286.79,USD,100649,2025-01-06,2025-01-17,10
